#indo
*Indo-European
+Proto-Indo- European	*oynos / *sem	*duwō	*treyes	*kwetwores	*penkwe	*sweks	*septṃ	*oktō	*newṇ 	*dekṃ
**Germanic
+Old Germanic	*ainaz	*twai	*þrijiz	*fiþwor	*fimfi	*seks	*sibum	*ahtō	*niwun	*tehun
*3Western
Old English	án	twá	þrí	féower	fíf	sex	seofon	eahta	niɣon	tíen
+Middle English	an	two	three	four	fif	six	seven	eihte	nien	ten
!English	one	two	three	four	five	six	seven	eight	nine	ten
Scots	ane	twa	thrie	fower	fyve	sax	seiven	aicht	nyne	ten
+Old Frisian	en	twe	thre	fiuwer	fif	sex	sigun	achta	nigun	tian
W.Frisian	ien	twa	trije	fjouwer	fiif	seis	sân	acht	njoggen	tsien
Frisian (Saterland)	aan	twæi	træi	fjauer	fieuw	sæks	sogen	oachte	njugen	tjoon
!Dutch	een	twee	drie	vier	vijf	zes	zeven	acht	negen	tien
…W/S Flemish	ièn	twiè	drie	viere	vuvve	zèsse	zēvne	achte	nēgne	tiene
…Brabants	iën	twië	draë	vīr	vaëf	zes	zēve	acht	nēge	ting
…Low Saxon	een	twee	dree	veer	fief	söß	söven	acht	negen	teihn
…Emsland	ɛin	twɛi	dɾɛi	fɛiæ	fi:f	zɛs	zɛ:bm	axt	nɛ:ŋ	tain
…Mennonite Plautdietsch	een	twee	dree	fea	fief	sass	säwen	acht	näajen	tian
!Afrikaans	een	twee	drie	vier	vyf	ses	sewe	agt	nege	tien
+Old High German	ein	zwâ	drî	fior	fimf	sehs	sibun	ahto	niun	zehan
+Middle High German	ein	zwēne	drīe	vier	fünf	sëhs	siben	ahte	niun	zëhen
+Middle Low German	ein	twene	drê	vêr	vîf	ses	sevene	achte	negen	tein
+Old Saxon	ên	tuuêne	thria	fiuuar	fîf	sehs	siƀun	ahto	nigun	tehan
!German	eins	zwei	drei	vier	fünf	sechs	sieben	acht	neun	zehn
…Central Bavarian	oans	zwoa	drai	viare	fimbfe	sechse	simme	aochte	naine	zene
…Swabian	oes	zwoe	droe	vier	fümf	sechs	siibe	acht	noen	zaen
